  Time                 , V(L1:2,0)            , V(C1:1)              , V(C1:2,L1:2)         , V(C1:1,C1:2)         
  0.000000000000e+000  ,0.000000000000e+000  ,0.000000000000e+000  ,0.000000000000e+000  ,0.000000000000e+000  
  1.000000000000e-005  ,2.222123064567e-004  ,2.000000000000e-002  ,1.955468296819e-002  ,2.231047253581e-004  
  1.056476593018e-005  ,2.354340607565e-004  ,2.112953186035e-002  ,2.065768120527e-002  ,2.364165943230e-004  
  1.169429779053e-005  ,2.633631566043e-004  ,2.338859558105e-002  ,2.286053232868e-002  ,2.647000957720e-004  
  1.395336151123e-005  ,3.276795317804e-004  ,2.790672302246e-002  ,2.724731512710e-002  ,3.317283635790e-004  
  1.847148895264e-005  ,4.898783892962e-004  ,3.694297790527e-002  ,3.593593787538e-002  ,5.171616405949e-004  
  2.750774383545e-005  ,9.459881170717e-004  ,5.501548767090e-002  ,5.290098973405e-002  ,1.168509819773e-003  
  4.558025360107e-005  ,2.358281763003e-003  ,9.116050720215e-002  ,8.463590188062e-002  ,4.166323558524e-003  
  7.152324676514e-005  ,5.423646295745e-003  ,1.430464935303e-001  ,1.233216588953e-001  ,1.430118833921e-002  
  1.162437057495e-004  ,1.274119795463e-002  ,2.324874114990e-001  ,1.646648960758e-001  ,5.508131746856e-002  
  1.885459518433e-004  ,2.590715284977e-002  ,3.770919036865e-001  ,1.558241878372e-001  ,1.953605629995e-001  
  2.963950729370e-004  ,3.676431599822e-002  ,5.927901458740e-001  ,2.135488369803e-002  ,5.346709461778e-001  
  4.145225143433e-004  ,2.956906670469e-002  ,8.290450286865e-001  ,-1.285580754870e-001  ,9.280340374688e-001  
  5.251304244995e-004  ,1.603177241323e-002  ,1.050260848999e+000  ,-1.338646314482e-001  ,1.168093708034e+000  
  6.209556198120e-004  ,8.253039046783e-003  ,1.241911239624e+000  ,-5.459970689367e-002  ,1.288257907471e+000  
  7.352134323120e-004  ,9.365981190430e-003  ,1.470426864624e+000  ,7.174320132929e-002  ,1.389317682104e+000  
  8.461387252808e-004  ,2.100076947030e-002  ,1.692277450562e+000  ,1.128605695918e-001  ,1.558416111499e+000  
  9.629966354370e-004  ,2.947174894846e-002  ,1.925993270874e+000  ,4.916400205871e-002  ,1.847357519867e+000  
  9.666969718933e-004  ,2.966245830696e-002  ,1.933393943787e+000  ,4.535377727379e-002  ,1.858377708206e+000  
  9.740974845886e-004  ,3.000484489991e-002  ,1.948194969177e+000  ,3.761987536262e-002  ,1.880570248915e+000  
  9.888985099792e-004  ,3.050423445941e-002  ,1.977797019958e+000  ,2.176287694779e-002  ,1.925529908551e+000  
  1.000000000200e-003  ,3.070242035234e-002  ,2.000000000000e+000  ,9.656974317372e-003  ,1.959640605330e+000  
  1.002960205278e-003  ,3.070420191479e-002  ,2.000000000000e+000  ,5.296170091391e-004  ,1.968766181076e+000  
  1.008880615434e-003  ,3.064662180858e-002  ,2.000000000000e+000  ,-1.764684103054e-002  ,1.987000219222e+000  
